cloud_cover,diurnal _temp,frost_frequency,evo_transpiration,vapour_pressure,wetday_frequency,elevation,lumpy_disease
71.9,6.2,31,0.1,2.2,18.77,151,1
38,8.7,31,0,1.4,4.09,158,1
38.3,8.7,31,0.1,1.3,3.83,155,1
46.3,8.7,31,0.1,1.3,3.37,155,1
44.1,8.8,31,0.1,1.3,3.94,152,1
38.3,8.7,31,0.1,1.3,3.83,155,1
39.3,8.7,31,0,1.3,3.35,155,1
46.3,8.7,31,0.1,1.3,3.37,155,1
42.8,8.5,31,0,1.2,3.72,156,1
42.8,8.5,31,0,1.2,3.72,156,1
38,8.7,31,0,1.4,4.09,158,1
38.3,8.7,31,0.1,1.3,3.83,155,1
46.3,8.7,31,0.1,1.3,3.37,155,1
66.4,9.8,30.78,0.5,2.7,8.37,149,1
66.4,9.8,30.78,0.5,2.7,8.37,149,1
66.4,9.8,30.78,0.5,2.7,8.37,149,1
70.9,6.5,31,0.1,2.4,16.73,157,1
70.8,6.5,31,0.1,2.2,17.13,158,1
71.9,6.3,31,0.1,2.2,17.94,151,1
71.9,6.3,31,0.1,2.2,17.94,151,1
70.8,6.5,31,0.1,2.2,17.13,158,1
44.1,8.8,31,0.1,1.3,3.94,152,1
44.1,8.8,31,0.1,1.3,3.94,152,1
41.7,8.9,31,0,1.3,3.63,159,1
39.3,8.7,31,0,1.3,3.35,155,1
39.3,8.7,31,0,1.3,3.35,155,1
71.2,6.2,31,0.1,2.1,18.07,151,1
70.7,6.4,31,0.2,2,17.7,147,1
71.9,6.2,31,0.1,2.2,18.77,151,1
39.2,8.7,31,0,1.4,3.38,156,1
67.5,13.2,0,4.1,19.6,13.3,183,1
67.5,12.5,0,4.3,16.5,9.5,181,1
67.5,13.3,0,4.2,18.9,12.7,184,1
67.5,13.1,0,4.3,17.8,11.2,182,1
70,13.1,0,4.3,16.3,9.7,182,1
67.5,13.1,0,4.3,17.8,11.2,182,1
70,13.1,0,4.3,16.3,9.7,182,1
66.3,13.3,0,4.4,17.8,12,183,1
67.5,11.9,0,3.8,22.1,15.24,183,1
66.3,12.7,0,4,20.4,14.4,183,1
70.8,6.5,31,0.1,2.2,17.13,158,1
70.8,6.5,31,0.1,2.2,17.13,158,1
71.9,6.2,31,0.1,2.2,18.77,151,1
70.7,6.4,31,0.2,2,17.7,147,1
70.7,6.4,31,0.2,2,17.7,147,1
71.2,6,31,0.1,2.3,19.96,150,1
38.3,8.7,31,0.1,1.3,3.83,155,1
71.9,6.2,31,0.1,2.2,18.77,151,1
71.9,6.2,31,0.1,2.2,18.77,151,1
76.9,6,26.87,0.8,3.4,9.06,184,1
76.3,6,26.09,0.9,3.5,9.6,176,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
79.9,6.1,25.57,0.7,4.1,8.89,186,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
71.8,7,13.65,0.8,6.4,9.73,147,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
75.4,6,26.77,0.8,3.4,9.26,205,1
76.3,6,26.09,0.9,3.5,9.6,176,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
76.9,6,26.87,0.8,3.4,9.06,184,1
81.1,5.8,26.19,0.7,4,8.71,176,1
78.7,5.8,27.59,0.9,2.8,9.83,157,1
73.3,6.1,24.82,0.8,4.1,9.54,186,1
79.9,6.1,25.57,0.7,4.1,8.89,186,1
57.5,8.7,31,0.2,1.5,8.4,170,1
58.7,8.5,31,0.2,1.5,8.55,155,1
26.6,16.6,0,7.3,13.5,4.22,155,1
26.6,16.6,0,7.3,13.5,4.22,155,1
71.3,6,31,0.1,2.2,21.6,148,1
57.5,14.7,0,4.9,15.2,11.9,169,1
67.5,8.9,0,3.8,13.5,8,192,1
62.5,11.3,0,4.4,14.1,10,184,1
36.3,14.8,0,6.7,14.1,6.5,181,1
34.8,15.9,0,7.2,13.3,6.51,161,1
67.5,13.1,0,4.3,17.8,11.2,182,1
67.5,12.8,0,4.4,17.3,10.4,183,1
66.3,13.5,0,4.3,18.8,13.3,182,1
67.5,13.1,0,4.3,17.8,11.2,182,1
66.3,13.5,0,4.4,18,12.7,184,1
65.5,7.6,31,0.2,1.6,14.45,159,1
56.8,8,15.26,0.8,6.5,12.25,203,1
72.8,6.8,30.86,0.2,2.8,12.47,150,1
77.8,6,30.82,0.2,2.8,11.74,157,1
67.2,6.3,31,0.1,2,18.65,144,1
70.8,6.5,31,0.1,2.2,17.13,158,1
63.8,14,0,4.5,18,13.4,181,1
67.5,13.1,0,4.3,17.8,11.2,182,1
67.5,12.8,0,4.4,17.3,10.4,183,1
66.3,13.5,0,4.4,18,12.7,184,1
66.3,13.5,0,4.4,18,12.7,184,1
66.3,13.3,0,4.4,17.8,12,183,1
67.5,13.1,0,4.3,17.8,11.2,182,1
67.5,13.1,0,4.3,17.8,11.2,182,1
67.5,12.4,0,3.9,20.7,14.8,184,1
66.3,13.3,0,4.4,17.8,12,183,1
67.5,13.1,0,4.3,17.8,11.2,182,1
66.3,13.5,0,4.4,18,12.7,184,1
63.8,12.6,0,4.2,17.2,15.5,178,1
60,13.7,0,4.6,17.1,13.7,191,1
60,13.8,0,4.6,15.9,14,192,1
67.5,12.2,0,3.9,21.1,15.1,181,1
66.3,12.2,0,4,21.6,14.84,184,1
43.8,14.2,0,5.7,15.5,9.5,184,1
66.3,12.2,0,4,21.6,14.84,184,1
58.2,8.1,31,0.3,1.5,7.99,155,1
59.5,8.3,31,0.3,1.5,8.88,151,1
59.3,8.7,31,0.2,1.5,6.18,169,1
75.2,6.4,30.78,0.2,2.8,13.12,149,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81,6.6,24.49,0.8,4.4,10.8,131,1
81.2,6.3,27.14,0.8,3.4,10.57,144,1
