CC,DT,FF,ET,VP,WDF,EVT,LUMPY
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
80.8,6.4,25.99,0.9,3.6,7.47,189,1
77.6,6.7,27.14,0.9,3.2,7.92,207,1
82.3,7.4,24.26,0.5,5.4,6.63,154,1
82.8,6.5,25.15,0.6,4.6,8.24,174,1
69.8,7.6,16.59,0.6,6.7,8.02,145,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
69.5,7.3,21.77,0.6,5.7,8.88,144,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
75.9,6.6,23.09,0.8,4.7,7.65,183,1
71.3,6.9,16.59,0.7,6.2,7.62,157,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
78.5,6.9,23.91,0.6,5.2,13.14,154,1
75.4,7,25.25,0.6,4.4,8.43,201,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
80.1,6.5,25.68,0.7,4,7.33,170,1
80.1,6.5,25.68,0.7,4,7.33,170,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
80.1,6.5,25.68,0.7,4,7.33,170,1
80.1,6.5,25.68,0.7,4,7.33,170,1
80.1,6.5,25.68,0.7,4,7.33,170,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
80.1,6.5,25.68,0.7,4,7.33,170,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.1,6.9,22.97,0.6,5.3,7.69,134,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.4,6.6,23.09,0.8,4.7,7.07,186,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
84.3,6.4,26.09,0.7,4.1,7.03,165,1
80.1,6.5,25.68,0.7,4,7.33,170,1
81.1,6.7,23.8,0.6,5.2,7.26,185,1
75.4,7,25.25,0.6,4.4,8.43,201,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
71.3,6.9,16.59,0.7,6.2,7.62,157,1
77.6,6.7,22.01,0.7,5.2,6.94,127,1
80.7,7.2,23.33,0.5,5.7,7,155,1
80.7,7.2,23.33,0.5,5.7,7,155,1
72.7,6.9,22.25,0.8,5.2,8.97,161,1
72.4,6.6,15.52,0.8,6.2,7.64,109,1
72.4,6.6,15.52,0.8,6.2,7.64,109,1
72.4,6.6,15.52,0.8,6.2,7.64,109,1
72.7,6.9,22.25,0.8,5.2,8.97,161,1
69.8,6.5,10.78,0.9,7.2,8.49,141,1
62.2,7.8,29.49,0.7,2.2,8.47,78,1
69.8,6.5,10.78,0.9,7.2,8.49,141,1
69.8,6.5,10.78,0.9,7.2,8.49,141,1
69.8,6.5,10.78,0.9,7.2,8.49,141,1
71.7,6.9,21.27,0.8,5.4,8.06,181,1
72.4,6.6,15.52,0.8,6.2,7.64,109,1
69.8,6.5,10.78,0.9,7.2,8.49,141,1
71.7,6.9,21.27,0.8,5.4,8.06,181,1
18.4,14.9,0,3.1,13.8,0.01,170,0
18.9,15.2,0,3.1,13.8,0,167,0
20.6,15,0,3,13.8,0,174,0
21.4,14.2,0,3,14.4,0.01,170,0
23.9,13.4,0,3,14.7,0.04,147,0
25.3,12.5,0,3,16.2,0.12,133,0
26.7,11.8,0,3,16.6,0.17,178,0
27.7,10.9,0,3.2,18.8,0.08,134,0
23.7,12.5,0,3,18.9,0,144,0
23.4,12.5,0,2.9,17.7,1.41,171,0
24,12.3,0,2.9,18.1,1.22,148,0
23.4,12.3,0,2.9,19.1,0,150,0
23.4,12.3,0,2.9,18.5,1.06,166,0
25.5,12.5,0,2.8,18.6,1.1,149,0
26.6,13,0,2.7,16.6,1.59,181,0
27.6,13.2,0,2.6,16.9,2.76,143,0
20,13.9,0,3.5,16,0,158,0
20.4,17,0,3.3,12,0,165,0
18.1,17.5,0,3.4,11.5,0,169,0
17.6,17.4,0,3.5,11,0,170,0
17,16.8,0,3.7,10.5,0,170,0
16.2,16.1,0,3.8,10.3,0,173,0
15.1,15.5,0,3.8,10.6,0,172,0
14.5,14.9,0,3.8,11.4,0,171,0
13.7,14.5,0,3.8,12.2,0,171,0
12.7,14.5,0,3.8,13.1,0.08,163,0
13,14.6,0,3.6,13.7,0.06,171,0
12.7,14.3,0,3.6,14.3,0.06,168,0
13.9,14,0,3.6,15.2,0.09,162,0
15,13.8,0,3.5,15.7,0.17,151,0
14.9,13.8,0,3.5,16,0.15,151,0
16.3,13.9,0,3.4,15.8,0,155,0
17.8,14.2,0,3.3,15,0,180,0
19.7,14.4,0,3.2,15.4,0,153,0
21.5,14.2,0,3.1,15.3,0,178,0
23.3,13.6,0,3,14.3,0.01,181,0
22.6,12.6,0,3.2,16.9,0.04,122,0
25,11.7,0,3.2,18,0.13,178,0
26,11,0,3.2,18.2,0.29,161,0
24.5,12.3,0,3,19,1.54,147,0
24,12.4,0,2.9,18.1,1.36,178,0
23.4,12.2,0,3,19.5,0,154,0
24.2,12.4,0,3,18.3,1.11,153,0
23.9,12.6,0,2.9,19.1,1.22,161,0
25.4,13.2,0,2.8,18.5,1.39,182,0
26,13.6,0,2.7,17.8,2.48,136,0
18,13.7,0,3.6,16.2,0,145,0
17.1,16.5,0,3.4,12.2,0,161,0
16.3,17,0,3.5,11.6,0,168,0
17,16.7,0,3.7,11.7,0,171,0
17,16.3,0,3.9,11.1,0,170,0
16.4,15.7,0,4,10.7,0,169,0
15.5,15.1,0,4,10.6,0,174,0
15.1,14.4,0,3.9,11.2,0,177,0
14.4,13.8,0,3.9,12.1,0,168,0
13.4,13.6,0,3.8,13.2,0,167,0
12.5,13.9,0,3.7,13.7,0.01,171,0
13.6,13.7,0,3.7,14.4,0.01,172,0
13.6,13.3,0,3.7,15.4,0.03,164,0
14.9,13,0,3.7,15.9,0.08,163,0
16.1,13,0,3.6,16.6,0,158,0
17.3,13.1,0,3.5,16.7,0,138,0
18.8,13.1,0,3.5,17,0,164,0
20.6,13.1,0,3.4,17.2,0,161,0
22.4,13.1,0,3.2,16.2,0.01,180,0
24.1,12.8,0,3.1,15.1,0.03,193,0
22.8,11.6,0,3.3,18.5,0.08,140,0
23.1,10.8,0,3.4,19.9,0.18,145,0
24,12.3,0,3,18.5,1.37,195,0
24.8,12.1,0,3,19.9,0,146,0
24.2,12.3,0,3,19.6,1.16,150,0
23.7,12.7,0,3,19.4,1.32,157,0
24.4,13.2,0,3,19.1,1.54,148,0
24.1,13.9,0,2.9,18,2.21,160,0
16.4,13.2,0,3.7,16.7,0,159,0
16.2,15.3,0,3.6,13.2,0,154,0
16.6,16,0,3.7,12.1,0,181,0
16.2,16.1,0,3.7,11.5,0,170,0
16.5,15.6,0,4,11.4,0,170,0
16.2,15.2,0,4.2,10.9,0,166,0
14.4,14.7,0,4.2,11,0,167,0
14.1,14.1,0,4.1,11.5,0,176,0
13.4,13.3,0,3.9,12.1,0,172,0
12.6,13,0,3.9,12.8,0,168,0
11.8,13.3,0,3.8,13.7,0,173,0
13.6,13.3,0,3.7,14.4,0,173,0
15,12.8,0,3.7,15.7,0,160,0
16.3,12.5,0,3.7,16.4,0,159,0
17.4,12.4,0,3.6,17,0,174,0
18.7,12.3,0,3.6,17.7,0,145,0
20,12.1,0,3.5,18.4,0,180,0
21.7,12.1,0,3.4,17.3,0.06,151,0
23.2,11.8,0,3.3,17.5,0.06,154,0
23.3,11.3,0,3.4,19.1,0.09,150,0
23.1,10.7,0,3.5,20.3,0.16,148,0
24.2,12,0,3.2,20.3,1.23,160,0
24.9,12,0,3.2,20.7,0,145,0
24.3,12.2,0,3.1,20.3,0,145,0
24.9,12.7,0,3.1,20.1,1.29,150,0
24.4,13.1,0,3.1,20.6,1.43,145,0
25.3,14,0,3,19.4,1.48,146,0
15.6,12.3,0,4,17.7,0,155,0
15.5,14.1,0,3.8,14.6,0,181,0
15.9,15,0,3.8,13.5,0,177,0
16.5,15.4,0,3.9,12.3,0,168,0
15.6,15.1,0,4.1,11.8,0,176,0
15.5,14.7,0,4.2,11.6,0,174,0
14,14.3,0,4.3,11.7,0,166,0
13.8,14,0,4.1,12.5,0,166,0
13.3,13.3,0,4,12.9,0,166,0
12.8,13,0,3.9,13.5,0,173,0
12.8,13.1,0,3.8,14.2,0,170,0
15,13,0,3.8,14.8,0,175,0
16.2,12.5,0,3.8,16.3,0,159,0
17.4,12.1,0,3.7,17.3,0,156,0
18.6,11.7,0,3.7,18.2,0,154,0
20,11.5,0,3.6,18.7,0,153,0
21.1,11.2,0,3.6,19.2,0,152,0
22.5,10.7,0,3.6,19.9,0,148,0
22.6,10.2,0,3.6,20.8,0.09,146,0
25.7,11.9,0,3.3,21.4,0,158,0
25.1,12,0,3.3,21.1,0,147,0
24.5,12.1,0,3.2,20.7,0,147,0
25.1,12.4,0,3.2,20.1,0,146,0
24.5,12.9,0,3.2,20.4,0,147,0
25.4,13.6,0,3.1,20.1,1.26,144,0
14.9,12.9,0,4,16.5,0,154,0
15.2,14.3,0,3.9,14.6,0,165,0
15.6,14.7,0,4,14,0,177,0
14.6,14.7,0,4.1,13.2,0,170,0
14.6,14.3,0,4.2,12.6,0,170,0
14.5,14,0,4.2,12.7,0,175,0
13.1,13.6,0,4.1,13,0,166,0
12.9,13.1,0,4.1,13.6,0,169,0
12.8,13,0,4,14.2,0,165,0
14.5,13,0,3.9,14.8,0,168,0
15.1,12.7,0,3.9,15.8,0,163,0
16.5,12.2,0,3.8,17.3,0,154,0
17.8,11.7,0,3.8,18.5,0,148,0
19.2,11.2,0,3.7,19,0,149,0
20.7,10.8,0,3.6,19.6,0,155,0
21.9,10.3,0,3.6,20.5,0,145,0
22.9,9.8,0,3.6,21.3,0.01,147,0
23.6,9.3,0,3.7,22.1,0.04,147,0
25.9,12,0,3.4,21.8,0,145,0
25.4,12,0,3.4,21.2,0,147,0
26,12.1,0,3.4,20.6,0,145,0
24.7,13,0,3.3,20.7,0,144,0
15.6,12,0,4.1,18.2,0,154,0
15.7,14.2,0,3.9,15.2,0,178,0
14.7,14.7,0,4,14.7,0,171,0
14.9,14.5,0,4.1,14.2,0,176,0
13.6,14.2,0,4.2,13.6,0,173,0
13.4,13.9,0,4.2,13.3,0,169,0
13.4,13.4,0,4.1,13.5,0,176,0
13.5,12.8,0,4.1,14.1,0,168,0
13.9,12.9,0,4,15,0,166,0
14.4,13,0,4,15.5,0,163,0
16.1,12.7,0,3.9,15.7,0,182,0
17.5,12.1,0,3.8,17,0,172,0
18.8,11.5,0,3.8,18.8,0,145,0
20.2,10.8,0,3.7,19.5,0,156,0
21.4,10.2,0,3.6,20.4,0,145,0
27.1,11.8,0,3.5,22.5,0,156,0
26.5,11.9,0,3.5,22.4,0,147,0
27,12.1,0,3.4,22.1,0,147,0
26.3,12.3,0,3.5,21.6,0,147,0
14.7,10.6,0,4.3,20.3,0,153,0
14.6,13.4,0,4,16.9,0,191,0
14.8,14.8,0,3.9,15,0,171,0
14.9,14.4,0,4,14.8,0,170,0
13.6,14.2,0,4.1,14.1,0,175,0
13.5,13.9,0,4.1,13.5,0,171,0
12.4,13.5,0,4.1,13.9,0,165,0
12.7,13.2,0,4.1,14.2,0,169,0
14.5,13.2,0,4.1,15.2,0,169,0
15.1,13.2,0,4,16.1,0,163,0
16.7,12.6,0,3.9,16.4,0,188,0
17.9,11.9,0,3.9,18,0,151,0
19.3,11.1,0,3.9,19.5,0,148,0
20.3,10.4,0,3.8,20.5,0.13,145,0
14.3,12.2,0,4.2,19.3,0,171,0
14.3,13.7,0,4,17,0,171,0
13.3,13.9,0,4.1,15.8,0,172,0
13.5,13.8,0,4.1,14.9,0,173,0
12.4,13.7,0,4.1,14.1,0,168,0
12.8,13.7,0,4.1,14,0,172,0
13.3,13.5,0,4.2,14.5,0,172,0
15.2,13.2,0,4.1,15.3,0,173,0
15.6,12.8,0,4.2,16.8,0,156,0
17,12.4,0,4,17.2,0,180,0
18.4,11.7,0,3.9,18.3,0,150,0
19.5,10.9,0,4,20.1,0.26,148,0
13.7,12.3,0,4.2,20.5,0,145,0
13.8,13,0,4.2,18.2,0,172,0
12.8,13.4,0,4.2,16.7,0,169,0
13.3,13.3,0,4.2,15.9,0,173,0
13.9,13.2,0,4.2,15.1,0,177,0
14.6,13.3,0,4.2,14.2,0,179,0
15.3,13.2,0,4.2,15,0,171,0
15.9,12.9,0,4.2,16,0,166,0
17.6,12.6,0,4.2,17,0,164,0
18.9,12,0,4.1,18.3,0,158,0
18.9,11.3,0,4,19.4,0,147,0
20.1,10.4,0,4,20.9,0.33,151,0
13.6,12.4,0,4.2,19.3,0,179,0
14.1,12.8,0,4.2,17.4,0,178,0
13.6,12.8,0,4.3,16.5,0,175,0
14.2,12.6,0,4.2,15.7,0,175,0
15,12.7,0,4.3,15.6,0,171,0
17.1,12.9,0,4.2,15.5,0,175,0
17.8,12.7,0,4.2,16.2,0,166,0
19.5,12.4,0,4.2,17.3,0,163,0
19.6,11.9,0,4.1,18.4,0,157,0
20.8,11.2,0,4.1,19.8,0.28,158,0
20.6,10.2,0,4.1,21.6,0.26,145,0
14.4,11.5,0,4.5,21.2,0,149,0
15,12.3,0,4.3,18.4,0,174,0
15.3,12.6,0,4.2,17.5,0,176,0
15.8,12.7,0,4.3,16.5,0,172,0
16.6,12.7,0,4.3,16,0,176,0
18.8,12.8,0,4.2,15.5,0,180,0
19.5,12.7,0,4.2,15.6,0,180,0
21.1,12.5,0,4.1,16.2,0,169,0
21.2,12,0,4,17.5,0.28,170,0
22.3,11.2,0,4,19.5,0.27,153,0
22.3,10.2,0,4,21.6,0.26,151,0
16,10.7,0,4.6,22.6,0,145,0
16.3,11.7,0,4.3,19.6,0,168,0
17.8,12.8,0,4.1,16.9,0,173,0
18.2,13.1,0,4.2,16.7,0,179,0
18.9,12.9,0,4.2,16.4,0,175,0
21,12.7,0,4.2,15.8,0,183,0
21.4,12.6,0,4.2,15.9,0,175,0
22.7,12.3,0,4.1,16.6,0,178,0
22.7,11.8,0,4,17.9,0.28,172,0
22.7,10.9,0,4.1,20.9,0.28,160,0
23.8,9.9,0,4,22.5,0.28,150,0
24.3,9.2,0,3.9,23.7,0.44,145,0
18.7,10.6,0,4.5,22.2,0,149,0
20.4,12,0,4.1,18.5,0,180,0
22.3,12.7,0,4.1,17.5,0,181,0
23.1,12.6,0,4.2,17,0,169,0
23.8,12.5,0,4.3,16.8,0,174,0
24.4,12.4,0,4.2,16.8,0,181,0
24.1,12.1,0,4.2,18.1,0,176,0
25.1,11.5,0,4.1,19,0.33,183,0
24.8,10.5,0,4.1,21.7,0.34,150,0
24.5,9.4,0,4,23.2,0.47,149,0
45.7,8.8,0,3.6,25.6,3.01,148,0
23,10.2,0,4.5,22.8,0,152,0
25.1,11.3,0,4.1,19.4,0,177,0
26.2,11.9,0,4.1,18.5,0,176,0
27.1,12,0,4.2,18.1,0,165,0
28.6,12.3,0,4.3,17.9,0,180,0
27.8,12.2,0,4.3,18.2,0,169,0
28.1,11.8,0,4.3,19.6,0,166,0
27.3,11.1,0,4.1,19.6,0.44,150,0
26.7,9.8,0,4.1,22.4,0.5,152,0
27.5,8.7,0,4,23.7,0.77,146,0
27,10.5,0,4.4,21.8,0,158,0
30.8,11.6,0,4,18.8,0,186,0
31.7,12,0,4.1,18.3,0,182,0
33.2,12.1,0,4.1,18.3,0,155,0
31.1,11.7,0,4.6,20.7,0,185,0
31.4,11.5,0,4.4,20.4,0.51,105,0
31.7,10.4,0,4.2,21.4,0.62,169,0
29.7,8.9,0,4.3,23.7,0.92,147,0
30.1,7.8,0,4,24.5,1.21,145,0
54.6,7.5,0,3.6,24.8,5.9,162,0
31.7,10.8,0,4.3,21.2,0,144,0
35.2,12,0,3.9,18.1,0.33,94,0
34.3,11.2,0,4.4,21.5,0,163,0
33.9,10.9,0,4.6,22.3,0.6,156,0
34.3,10.5,0,4.5,22.2,0.69,153,0
34.6,9.4,0,4.3,23.1,0.87,116,0
33.8,8,0,4.3,24.5,1.29,153,0
33,6.9,0,4.2,24.9,1.67,145,0
33.4,10,0,4.4,23.4,0.44,154,0
35.5,10.6,0,4.3,22.1,0.52,157,0
35.9,10.5,0,4.4,22.3,0.63,160,0
37.2,10.1,0,4.4,22.9,0.76,160,0
36.5,9.4,0,4.4,23.6,0.8,158,0
36.8,8.3,0,4.3,24.6,1.22,152,0
36.2,7.1,0,4.3,25.3,1.73,148,0
36.9,5.9,0,4.2,25.8,2.53,145,0
35.7,9.7,0,4.4,24.1,0.58,150,0
38,10.3,0,4.1,21.7,0.66,154,0
41.1,10.4,0,3.7,19.4,1,212,0
41.2,9.7,0,3.9,21.6,1.11,115,0
40.6,8.7,0,4.2,23.8,1.29,139,0
39.5,7.5,0,4.3,25.3,1.51,151,0
39.4,6.4,0,4.2,26.3,2.17,144,0
40.3,9.6,0,4.1,23.4,0.98,149,0
43.7,9.8,0,3.7,20.7,1.31,128,0
42.9,8.9,0,4.1,24,1.19,149,0
43.8,8,0,4.2,25.5,1.43,149,0
44.1,7,0,4.1,26.5,2.21,145,0
41.5,9.2,0,4.1,24.6,1.66,146,0
45.2,9.3,0,3.8,22.7,1.72,196,0
46,8.5,0,4.1,25.2,1.6,154,0
47.5,7.8,0,4,26,2.02,145,0
47.8,6.9,0,4,27,2.69,145,0
53.9,9.1,0,4.3,25,3.78,145,0
43.9,9.1,0,4,25.3,1.3,152,0
48,9.2,0,3.8,23.8,1.61,192,0
49.5,8.5,0,4,25.5,1.88,147,0
49.1,9,0,3.9,25.1,1.95,154,0
54.2,8.6,0,3.8,25.8,1.99,143,0
36.3,15.9,0,3.9,12.3,0,149,0
33.5,15.7,0,4.1,12.1,0,152,0
29.5,15.6,0,4.3,11.6,0,152,0
32.6,15.4,0,4.4,11.2,0,156,0
41,15.6,0,4.4,11.7,0,162,0
49.9,16.5,0,4.8,9.3,0,166,0
36,14.9,0,4.1,13.5,0,143,0
32.6,15,0,4.3,12.4,0,170,0
38.1,15.1,0,4.3,10.8,0,183,0
41.6,15.5,0,4.5,11.5,0,181,0
45.7,15.8,0,4.5,11.3,0,178,0
47.3,16.1,0,4.6,11.5,0,143,0
48.9,16.4,0,4.6,11.1,0,162,0
48.9,16.6,0,4.6,10.1,0,150,0
48.5,16.9,0,4.7,9.8,0,167,0
48.3,12.5,0,3.7,17.8,0,147,0
45.5,13.1,0,3.8,16.3,0,158,0
41.6,13.6,0,4,15.1,0,168,0
39.1,14,0,4.2,14.5,0,154,0
37.6,14.4,0,4.3,12.6,0,142,0
41.9,14.8,0,4.3,11.4,0,185,0
42.9,15.3,0,4.4,11.7,0,170,0
43.4,15.8,0,4.6,12,0,179,0
45.3,16.2,0,4.7,12.2,0,166,0
45.8,16.6,0,4.6,11.5,0,173,0
45.9,17,0,4.6,10.9,0,163,0
46.8,17.4,0,4.4,10.6,0,165,0
47.8,17.8,0,4.5,10.2,0,163,0
48.8,11.9,0,3.9,18.2,0,148,0
45.7,12.5,0,4.1,17.2,0,146,0
41.7,13.1,0,4.3,16.2,0,179,0
38.9,13.8,0,4.6,15.4,0,172,0
42.7,14.5,0,4.4,13,0,193,0
43.6,15.2,0,4.5,12.4,0,177,0
41.8,15.8,0,4.7,12.7,0,158,0
42.7,16.3,0,4.8,12.8,0,151,0
43.2,16.8,0,4.7,12.3,0,169,0
43.5,17.3,0,4.6,11.8,0,165,0
44.2,17.8,0,4.3,11.2,0,163,0
47.7,18.2,0,4.2,11,0,169,0
50.3,10.9,0,4.1,20.6,0,144,0
46.1,11.5,0,4.3,19.7,0,153,0
42.3,12.2,0,4.5,18.3,0,161,0
38.6,13.2,0,4.7,17.5,0,149,0
40.5,14.2,0,4.8,15.4,0,182,0
38.9,15.1,0,5,14.6,0,160,0
38.7,15.8,0,5.1,13.7,0,183,0
40.8,16.3,0,5.1,13.5,0,172,0
42.7,16.8,0,4.8,13.2,0,165,0
45.4,17.3,0,4.5,12.8,0,171,0
47.6,17.8,0,4.2,12.4,0,169,0
51.2,18.2,0,4,12.1,0.14,164,0
54.3,18.7,0,3.9,12.1,0.09,166,0
42.3,11.2,0,4.6,20.8,0,177,0
38,12.4,0,5,19.2,0,129,0
38.6,16.1,0,5.2,14.7,0,167,0
44.1,16.6,0,4.8,14.3,0,174,0
49.4,17.1,0,4.4,13.9,0,173,0
52.9,17.7,0,4.1,13.5,0.41,172,0
55.7,18.2,0,3.9,13.1,0.31,172,0
57.6,18.6,0,3.7,13.1,0.29,172,0
41,10.1,0,4.9,23.4,0,145,0
47.6,16.2,0,4.5,15.4,0.9,169,0
53,16.8,0,4.2,14.7,0.76,175,0
58,17.3,0,3.9,14.1,0.64,182,0
59.6,17.9,0,3.7,13.7,0.59,175,0
60.7,18.5,0,3.6,13.8,0.57,166,0
51,15.6,0,4.3,17.3,0.98,168,0
58.7,16.2,0,3.9,16.1,0.93,169,0
61.3,16.8,0,3.7,14.9,0.88,181,0
61.9,17.5,0,3.6,14.6,0.84,174,0
61.9,18.1,0,3.5,14.5,0.75,170,0
64.2,16.5,0,3.6,16.7,1.14,160,0
62.6,17.1,0,3.5,15.8,1.03,173,0
62.2,15.9,0,3.5,18.2,1.26,165,0
61.7,16.8,0,3.5,17.4,1.24,172,0
61,17.2,0,3.4,16.7,1.04,163,0
71.9,8.4,8.31,1.1,7.5,10.82,155,0
78,7.3,23.68,0.8,4.8,11.21,191,0
77.9,7.2,25.04,0.7,4.6,10.84,158,0
72.7,7.1,26.09,0.6,4.1,10.5,198,0
69.2,7.1,25.25,0.6,4.5,9.95,150,0
69.5,7.3,21.77,0.6,5.7,8.88,144,0
69.8,7.6,16.59,0.6,6.7,8.02,145,0
71.3,6.9,16.59,0.7,6.2,7.62,157,0
72.4,6.6,15.52,0.8,6.2,7.64,109,0
71,6.4,11.55,0.9,6.8,8.4,135,0
73.3,8.3,12.07,1,7.2,11.79,176,0
72.5,7.5,23.8,0.8,4.7,11.5,181,0
71.1,7.3,25.15,0.7,4.3,11.33,192,0
66.6,7.4,24.71,0.6,4.6,10.97,168,0
