CC,DT,FF,ET,TEMP,VP,WDF,LUMPY
67.6,7.4,20.52,0.9,2.7,5,11.9,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
61.4,7.6,1.11,1.5,11.6,7.5,11.75,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
67.6,7.4,20.52,0.9,2.7,5,11.9,1
67.6,7.4,20.52,0.9,2.7,5,11.9,1
69.6,7.2,24.03,0.8,0.7,4.7,12.69,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
61.4,7.6,1.11,1.5,11.6,7.5,11.75,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
61.4,7.6,1.11,1.5,11.6,7.5,11.75,1
61.4,6.7,2.31,1.4,10.1,6.9,11.07,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
69.6,7.2,24.03,0.8,0.7,4.7,12.69,1
69.5,7.5,23.21,0.8,1.6,5,12.18,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.7,5.85,1.6,10.6,9.6,6.08,1
44,11.4,4.64,1.6,11.1,10,6.13,1
48.4,9.8,3.22,1.3,11.1,9,9.46,1
44,11.4,4.64,1.6,11.1,10,6.13,1
44,11.4,4.64,1.6,11.1,10,6.13,1
44,11.4,4.64,1.6,11.1,10,6.13,1
54.5,10.3,10.02,1,8.1,8.5,13.97,1
54.5,10.3,10.02,1,8.1,8.5,13.97,1
69.6,7.2,24.03,0.8,0.7,4.7,12.69,1
70.5,5.9,3.06,1.4,9.2,8.1,15.46,1
61.4,7.6,1.11,1.5,11.6,7.5,11.75,1
65.9,6.8,5.85,1.1,8.2,6.9,13.17,1
